date,oil,water
1991-03-19,58.25,2551.1
1991-03-20,58.15,2550.35
1991-03-21,57.85,2550.3
1991-03-22,57.4,2551.4
1991-03-23,56.1,2505.7
1991-03-24,56.55,2516.5
1991-03-25,56.7,2550.95
1991-03-26,57,2548.5
1991-03-27,56.3,2526.2
1991-03-28,57.3,2547
1991-03-29,57.1,2544.75
1991-03-30,57.45,2548.45
1991-03-31,56.35,2542.3
1991-04-01,56.25,2545
1991-04-02,55.8,2549.05
1991-04-03,55.5,2545.5
1991-04-04,55.05,2547.1
1991-04-05,54.55,2548
1991-04-06,53.35,2543.55
1991-04-07,52.55,2543.65
1991-04-08,51.6,2543.75
1991-04-09,50.95,2544.05
1991-04-10,50.65,2545.55
1991-04-11,49.95,2546.65
1991-04-12,50,2546.5
1991-04-13,49.75,2548.7
1991-04-14,49,2550.85
1991-04-15,48.65,2551.6
1991-04-16,48.35,2553.35
1991-04-17,48.2,2552.5
1991-04-18,47.7,2552.15
1991-04-19,47.55,2551.7
1991-04-20,47.4,2552.4
1991-04-21,47.65,2552.65
1991-04-22,47.15,2552.35
1991-04-23,46.3,2554.65
1991-04-24,46.3,2554.65
1991-04-25,45.05,2557.15
