date,prod
2016-04-17,139.5
2016-04-18,139.59
2016-04-19,139.59
2016-04-20,139.59
2016-04-21,139.59
2016-04-22,139.59
2016-04-23,139.59
2016-04-24,139.5
2016-04-25,137.07
2016-04-26,137.34
2016-04-27,130.32
2016-04-28,128.97
2016-04-29,129.96
2016-04-30,130.14
2016-05-01,130.41
2016-05-02,130.23
2016-05-03,128.79
2016-05-04,128.61
2016-05-05,129.24
2016-05-06,126.99
2016-05-07,126.45
2016-05-08,127.62
2016-05-09,127.35
2016-05-10,128.52
2016-05-11,117.9
2016-05-12,116.82
2016-05-13,119.88
2016-05-14,114.66
2016-05-15,114.12
2016-05-16,47.52
2016-05-17,0
2016-05-18,0
2016-05-19,0
2016-05-20,0
2016-05-21,0
2016-05-22,0
2016-05-23,0
2016-05-24,0
2016-05-25,0
2016-05-26,0
2016-05-27,0
2016-05-28,0
2016-05-29,37.08
2016-05-30,96.12
2016-05-31,93.78
2016-06-01,101.16
2016-06-02,98.01
2016-06-03,94.5
2016-06-04,96.75
2016-06-05,97.29
2016-06-06,102.24
2016-06-07,101.7
2016-06-08,104.22
2016-06-09,103.77
2016-06-10,104.13
2016-06-11,114.75
2016-06-12,113.49
2016-06-13,114.93
2016-06-14,116.28
2016-06-15,115.65
2016-06-16,111.06
2016-06-17,110.79
2016-06-18,110.61
2016-06-19,111.69
2016-06-20,111.6
2016-06-21,111.42
2016-06-22,112.05
2016-06-23,111.69
2016-06-24,111.06
2016-06-25,111.69
2016-06-26,117.09
2016-06-27,117.09
2016-06-28,121.41
2016-06-29,117.18
2016-06-30,117.36
2016-07-01,117.27
2016-07-02,125.64
2016-07-03,116.91
2016-07-04,113.4
2016-07-05,113.67
2016-07-06,115.56
2016-07-07,117.36
2016-07-08,117.36
2016-07-09,119.25
2016-07-10,119.79
2016-07-11,121.41
2016-07-12,121.41
2016-07-13,121.86
2016-07-14,117.72
2016-07-15,116.91
2016-07-16,117
2016-07-17,116.82
2016-07-18,116.1
2016-07-19,117.09
2016-07-20,115.2
2016-07-21,115.29
2016-07-22,115.2
2016-07-23,114.21
2016-07-24,114.84
2016-07-25,118.53
2016-07-26,119.79
2016-07-27,118.17
2016-07-28,121.5
2016-07-29,116.1
2016-07-30,114.39
2016-07-31,114.93
2016-08-01,115.92
2016-08-02,116.73
2016-08-03,116.64
2016-08-04,115.74
2016-08-05,115.29
2016-08-06,111.24
2016-08-07,113.49
2016-08-08,117.36
2016-08-09,110.88
2016-08-10,115.29
2016-08-11,112.14
2016-08-12,111.96
2016-08-13,112.32
2016-08-14,111.87
2016-08-15,111.96
2016-08-16,111.51
2016-08-17,115.11
2016-08-18,112.32
2016-08-19,112.86
2016-08-20,113.04
2016-08-21,111.51
2016-08-22,117.63
2016-08-23,115.11
2016-08-24,113.4
2016-08-25,115.2
2016-08-26,114.75
2016-08-27,114.39
2016-08-28,114.84
2016-08-29,115.65
2016-08-30,117
2016-08-31,111.51
2016-09-01,114.57
2016-09-02,112.14
2016-09-03,115.02
2016-09-04,118.44
2016-09-05,116.46
2016-09-06,115.47
2016-09-07,114.48
2016-09-08,115.11
2016-09-09,115.29
2016-09-10,115.65
2016-09-11,117
2016-09-12,114.84
2016-09-13,114.66
2016-09-15,115.2
2016-09-16,115.2
2016-09-17,113.04
2016-09-18,113.67
2016-09-19,113.22
2016-09-20,114.3
2016-09-21,114.21
2016-09-22,114.21
2016-09-23,114.12
2016-09-24,114.12
2016-09-25,113.94
2016-09-26,114.12
2016-09-27,114.12
2016-09-28,114.12
2016-09-29,114.03
2016-10-01,110.7
2016-10-02,109.62
2016-10-03,102.69
2016-10-04,101.25
2016-10-06,100.71
2016-10-07,100.98
2016-10-08,100.71
2016-10-09,101.61
2016-10-10,102.69
2016-10-11,102.87
2016-10-12,103.77
2016-10-13,103.59
2016-10-14,104.13
2016-10-15,104.22
2016-10-16,105.84
2016-10-17,106.2
2016-10-18,106.38
2016-10-19,106.11
2016-10-20,106.02
2016-10-21,105.66
2016-10-22,106.02
2016-10-23,106.02
2016-10-24,105.84
2016-10-25,101.61
2016-10-26,101.07
2016-10-27,101.52
2016-10-28,101.7
2016-10-29,100.89
2016-10-30,102.69
2016-10-31,106.2
2016-11-01,106.92
2016-11-02,108.81
2016-11-03,108.81
2016-11-04,114.57
2016-11-05,111.24
2016-11-06,110.88
2016-11-07,110.07
2016-11-08,111.15
2016-11-09,113.4
2016-11-10,109.35
2016-11-11,110.7
2016-11-12,104.85
2016-11-13,113.04
2016-11-14,108.9
2016-11-15,108.27
2016-11-16,108.9
2016-11-17,108.63
2016-11-18,106.47
2016-11-19,101.88
2016-11-20,102.96
2016-11-21,103.86
2016-11-22,105.3
2016-11-23,103.23
2016-11-24,102.69
2016-11-25,102.15
2016-11-27,101.7
2016-11-28,101.43
2016-11-29,101.88
2016-11-30,102.15
2016-12-01,102.96
2016-12-02,103.5
2016-12-03,107.19
2016-12-04,106.56
2016-12-05,106.65
2016-12-06,107.1
2016-12-07,107.19
2016-12-08,107.19
2016-12-09,106.83
2016-12-10,107.46
2016-12-11,109.71
2016-12-12,109.17
2016-12-13,109.17
2016-12-14,109.44
2016-12-15,109.98
2016-12-16,110.97
2016-12-17,110.88
2016-12-18,112.5
2016-12-19,111.87
2016-12-20,110.61
2016-12-21,108.72
2016-12-22,109.62
2016-12-23,109.62
2016-12-24,109.53
2016-12-25,109.08
2016-12-26,109.98
2016-12-27,110.07
2016-12-28,108.18
2016-12-29,108.45
2016-12-30,108.27
2016-12-31,108.9
2017-01-01,107.19
2017-01-02,109.26
2017-01-03,105.48
2017-01-04,105.57
2017-01-05,108.09
2017-01-06,106.11
2017-01-07,102.06
2017-01-08,101.88
2017-01-09,101.7
2017-01-10,102.24
2017-01-11,102.24
2017-01-12,100.98
2017-01-13,104.58
2017-01-14,104.58
2017-01-15,105.66
2017-01-16,102.24
2017-01-17,102.78
2017-01-18,102.96
2017-01-19,102.06
2017-01-20,101.97
2017-01-21,102.15
2017-01-23,101.34
2017-01-24,101.79
2017-01-25,101.88
2017-01-26,99.27
2017-01-27,99
